dataId,genre
102795,Drama
102796,Documentary
102796,Comedy
102797,Documentary
102797,Horror
102798,Horror
102799,Drama
102799,War
102800,Biography
102800,Drama
102801,Action
102801,Adventure
102801,Comedy
102802,Drama
102803,Comedy
102803,Family
102803,Fantasy
102804,Comedy
102804,Sci-Fi
102805,Western
102806,Short
102806,Drama
102806,Horror
102807,Drama
102807,Film-Noir
102808,Comedy
102808,Drama
102809,Adventure
102809,Comedy
102809,Music
102810,Action
102810,Thriller
102811,Action
102812,Drama
102812,Mystery
102812,Thriller
102813,Comedy
102814,Comedy
102814,Horror
102814,Thriller
102815,Documentary
102815,Crime
102815,History
102816,Crime
102816,Drama
102817,Documentary
102818,Documentary
102818,Drama
102819,Animation
102819,Action
102819,Adventure
102820,Documentary
102821,Short
102821,Comedy
102821,Drama
102822,Comedy
102823,Drama
102823,Horror
102823,Thriller
102824,Horror
102824,Thriller
102825,Drama
102825,Horror
102825,Thriller
102826,Drama
102826,Thriller
102827,Drama
102827,Thriller
102828,Short
102828,Comedy
102828,Drama
102829,Documentary
102830,Comedy
102831,Comedy
102831,Horror
102832,Documentary
102832,Biography
102833,Comedy
102834,Horror
102835,Action
102835,Crime
102835,Drama
102836,Drama
102837,Horror
102838,Crime
102838,Thriller
102839,Action
102840,Comedy
102840,Drama
102840,Sci-Fi
102841,Fantasy
102841,Mystery
102842,Comedy
102842,Drama
102842,Music
102843,Biography
102843,Drama
102843,Mystery
102844,Drama
102845,Horror
102845,Sci-Fi
102845,Thriller
102846,Drama
102846,Thriller
102847,Comedy
102847,Drama
102848,Comedy
102848,Crime
102848,Drama
102849,Drama
102850,Comedy
102851,Horror
102851,Short
102852,Animation
102852,Short
102852,Comedy
102853,Comedy
102853,Crime
102853,Horror
102854,Animation
102854,Short
102854,Drama
102855,Documentary
102856,Comedy
102856,Horror
102857,Drama
102857,Romance
102857,War
102858,Animation
102858,Short
102858,Drama
102859,Drama
102859,Western
102860,Fantasy
102861,Documentary
102861,Drama
102862,Comedy
102862,Crime
102862,Mystery
102863,Family
102863,Animation
102863,Short
102864,Comedy
102865,Documentary
102866,Short
102866,Drama
102866,Romance
102867,Comedy
102868,Comedy
102869,Documentary
102869,Comedy
102870,Drama
102871,Documentary
102872,Drama
102872,Romance
102873,Drama
102874,Drama
102874,Family
102874,Romance
102875,Comedy
102875,Music
102876,Short
102876,Comedy
102877,Animation
102877,Short
102877,Adventure
102878,Adventure
102878,Comedy
102878,Drama
102879,Short
102879,Sport
102880,Comedy
102881,Documentary
102881,Short
102882,Animation
102882,Family
102882,Short
102883,Documentary
102883,Comedy
102884,Comedy
102884,Drama
102885,Action
102885,Drama
102885,Thriller
102886,Drama
102887,Drama
102887,Thriller
102888,Drama
102889,Drama
102890,Comedy
102891,Comedy
102891,Horror
102892,Adventure
102892,Horror
102893,Crime
102893,Drama
102893,Thriller
102894,Documentary
102895,Comedy
102895,Drama
102895,Romance
102896,Western
102897,Animation
102897,Short
102897,Fantasy
102898,Family
102898,Musical
102898,Romance
102899,Comedy
102899,Romance
102900,Drama
102901,Horror
102901,Thriller
102902,Drama
102903,War
102904,Drama
102905,Horror
102905,Mystery
102905,Thriller
102906,Crime
102906,Drama
102906,Thriller
102907,Comedy
102908,Drama
102908,Western
102909,Drama
102909,Sci-Fi
102910,Drama
102910,Mystery
102911,Drama
102912,Mystery
102912,Sci-Fi
102913,Action
102913,Crime
102913,Drama
102914,Comedy
102914,Romance
102915,Crime
102915,Drama
102915,Thriller
102916,Drama
102916,History
102916,War
102917,Adventure
102917,Fantasy
102918,Documentary
102918,History
102919,Drama
102919,Music
102920,Comedy
102921,Biography
102921,Drama
102922,Fantasy
102922,Horror
102922,Thriller
102923,Horror
102923,Thriller
102924,Horror
102924,Sci-Fi
102925,Drama
102925,Horror
102925,Mystery
102926,Adventure
102926,Music
102926,Romance
102927,Documentary
102927,Music
102928,Horror
102929,Comedy
102929,Romance
102930,Drama
102931,Comedy
102932,Documentary
102933,Biography
102933,Drama
102933,History
102934,Drama
102934,Horror
102934,Mystery
102935,Horror
102936,Drama
102936,History
102937,Comedy
102938,Drama
102939,Drama
102939,History
102939,Romance
102940,Comedy
102940,Drama
102941,Drama
102941,Romance
102942,Thriller
102943,Drama
102943,Family
102943,Thriller
102944,Drama
102944,Music
102944,Romance
102945,Comedy
102945,Drama
102945,Music
102946,Documentary
102946,Sport
102947,Comedy
102948,Drama
102948,History
102948,War
102949,Documentary
102950,Documentary
102950,Drama
102951,Comedy
102951,Drama
102952,Documentary
102952,Biography
102952,Sport
102953,Family
102954,Drama
102955,Mystery
102955,Thriller
102956,Drama
102956,Horror
102956,Sci-Fi
102957,Drama
102958,Sci-Fi
102959,Action
102959,Comedy
102959,Drama
102960,Drama
102961,Drama
102962,Comedy
102962,Music
102962,Romance
102963,Drama
102963,Family
102963,Romance
102964,Comedy
102965,Comedy
102966,Comedy
102966,Drama
102967,Action
102967,Sci-Fi
102968,Action
102968,Crime
102968,Drama
102969,Drama
102970,Comedy
102970,Romance
102971,Drama
102971,Romance
102972,Drama
102972,Romance
102973,Comedy
102974,History
102975,Drama
102976,Action
